step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
386,3,33.333333333333336,0.24242424242424232,0,0,0
387,3,33.333333333333336,0.24242424242424232,0,0,0
388,3,33.333333333333336,0.24242424242424232,0,0,0
389,3,33.333333333333336,0.24242424242424232,0,0,0
390,3,33.333333333333336,0.24242424242424232,0,0,0
391,3,33.333333333333336,0.24242424242424232,0,0,0
392,3,33.333333333333336,0.24242424242424232,0,0,0
393,3,33.333333333333336,0.24242424242424232,0,0,0
394,3,33.333333333333336,0.24242424242424232,0,0,0
395,3,33.333333333333336,0.24242424242424232,0,0,0
396,3,33.333333333333336,0.24242424242424232,0,0,0
397,3,33.333333333333336,0.24242424242424232,0,0,0
398,3,33.333333333333336,0.24242424242424232,0,0,0
399,3,33.333333333333336,0.24242424242424232,0,0,0
400,3,33.333333333333336,0.24242424242424232,0,0,0
401,3,33.333333333333336,0.24242424242424232,0,0,0
402,3,33.333333333333336,0.24242424242424232,0,0,0
403,3,33.333333333333336,0.24242424242424232,0,0,0
404,3,33.333333333333336,0.24242424242424232,0,0,0
405,3,33.333333333333336,0.24242424242424232,0,0,0
406,3,33.333333333333336,0.24242424242424232,0,0,0
407,3,33.333333333333336,0.24242424242424232,0,0,0
408,3,33.333333333333336,0.24242424242424232,0,0,0
409,3,33.333333333333336,0.24242424242424232,0,0,0
410,3,33.333333333333336,0.24242424242424232,0,0,0
411,3,33.333333333333336,0.24242424242424232,0,0,0
412,3,33.333333333333336,0.24242424242424232,0,0,0
413,3,33.333333333333336,0.24242424242424232,0,0,0
414,3,33.333333333333336,0.24242424242424232,0,0,0
415,3,33.333333333333336,0.24242424242424232,0,0,0
416,3,33.333333333333336,0.24242424242424232,0,0,0
417,3,33.333333333333336,0.24242424242424232,0,0,0
418,3,33.333333333333336,0.24242424242424232,0,0,0
419,3,33.333333333333336,0.24242424242424232,0,0,0
420,3,33.333333333333336,0.24242424242424232,0,0,0
421,3,33.333333333333336,0.24242424242424232,0,0,0
422,3,33.333333333333336,0.24242424242424232,0,0,0
423,3,33.333333333333336,0.24242424242424232,0,0,0
424,3,33.333333333333336,0.24242424242424232,0,0,0
425,3,33.333333333333336,0.24242424242424232,0,0,0
